News agancy,Tweet,Month,day,year
FoxNews,Rio police say they have not concluded whether the US swimmers will face charges for lying or vandalism. https://t.co/q9AgS1ILKW,Aug,18,2016
FoxNews,Rio police: The US swimmers paid for damages and left before police arrived. https://t.co/JqBBfNsXmT,Aug,18,2016
FoxNews,Rio police: The US swimmers did not want to wait at the gas station for police to arrive. https://t.co/WWO61OtRAp,Aug,18,2016
FoxNews,Rio police say one or more of the US swimmers broke mirrors in the bathroom and other equipment.,Aug,18,2016
FoxNews,Rio police on US swimmers: There was no robbery. https://t.co/v4KuBZ21m1,Aug,18,2016
FoxNews,Rio police on US swimmers:  An act of vandalism had been perpetrated by one or more of the athletes. https://t.co/V1LT00a5It,Aug,18,2016
FoxNews,Rio police on U.S. swimmers' story about being robbed: 'It was contradictory from the very beginning.' https://t.co/mUWcjkS1rk,Aug,18,2016
FoxNews,WATCH LIVE: Brazilian police hold press conference on Olympic swimmers incident   https://t.co/M44Cb5tmDQ,Aug,18,2016
FoxNews,The ultimate car lover? Ohio man arrested after sex act with van   https://t.co/izB5wL3bh6 https://t.co/UydXgWw9j5,Aug,18,2016
FoxNews,RT @foxnewshealth: Autistic man receives surprise gift from Michael Jordan https://t.co/OSw1n4EXyj https://t.co/nBtoWCP104,Aug,18,2016
FoxNews,"Ex-NFL star Darren Sharper gets 18 years in prison for drugging, raping women  https://t.co/HyRrAhNNlG https://t.co/FLA9UbGjvX",Aug,18,2016
FoxNews,"RT @foxnewspolitics: FOX NEWS HALFTIME REPORT: Don't kid yourself, the polls are usually right  https://t.co/PKAzfpjvQv via @ChrisStirewalt…",Aug,18,2016
FoxNews,RT @fxnopinion: Gov. Cuomo needs to let New York teens save lives through organ donation   @LiveOnNewYork   https://t.co/EKlJ1j7L59 https:/…,Aug,18,2016
FoxNews,Ferocious Southern California wildfire brings destruction and uncertainty  https://t.co/RpDGb1zFGL https://t.co/yo2OpzRmwb,Aug,18,2016
FoxNews,A Harvard professor is defending #DonaldTrump's plan for extreme vetting of immigrants. https://t.co/fiWAddIMG7 https://t.co/d6J5gBNZnZ,Aug,18,2016
MSNBC,Our coverage of #Rio2016 continues today from 2-4 p.m. ET! Tune in to MSNBC: https://t.co/RfRfPB2NDt   #Olympics https://t.co/tmjSpemvv4,Aug,18,2016
FoxNews,Do you think Kim Rhode's achievement got the attention it deserved?https://t.co/BH1yn7rIHY #Rio2016,Aug,18,2016
FoxNews,Feds to investigate Massachusetts town's rejection of Muslim cemetery https://t.co/aG4xpogRsz https://t.co/LVZk1sDiF8,Aug,18,2016
MSNBC,President Obama slammed for not visiting Louisiana flood sites amid vacation: https://t.co/rcryZLeMDo https://t.co/K9TmZmX5yC,Aug,18,2016
FoxNews,Googly-eyed purple squid sighting delights scientists  https://t.co/6DQAcso376 https://t.co/vgXywYZP2S,Aug,18,2016
MSNBC,"RT @TODAYshow: Robin Williams' daughter, @zeldawilliams, on how she handled dad's death https://t.co/norWmfSyIR https://t.co/Dn9EqFpCZ1",Aug,18,2016
MSNBC,"RT @NBCNews: A British athlete was robbed in Rio during the #Olympics, according to officials https://t.co/eh7UuKsAoP https://t.co/jPgbCvpu…",Aug,18,2016
FoxNews,Autistic man receives surprise gift from Michael Jordan  https://t.co/y3SBNIgxMd via @foxnewshealth,Aug,18,2016
FoxNews,RT @Fox411: #BREAKING @Gawker shutting down after 14 years https://t.co/crJ76eqr5l,Aug,18,2016
FoxNews,RT @fxnopinion: Why losing my Olympic dream was the best thing that ever happened to me   @TheBigPygmy   https://t.co/YtLwh4plgt https://t.…,Aug,18,2016
FoxNews,.@HillaryClinton: I believe supporting our police officers and improving policing go hand in hand. https://t.co/PDxBi4Nmyk,Aug,18,2016
FoxNews,".@HillaryClinton: I want to support them, our police officers, with the resources they need to do their jobs. https://t.co/I191pWPF13",Aug,18,2016
FoxNews,"Pope Francis taps American to head office for promoting life, family issues  https://t.co/FTJIjDjeF7 via @foxnewslatino",Aug,18,2016
MSNBC,RT @NBCNews: Benghazi mother's speechwriter may vote for Clinton https://t.co/z8U2ouHw2N https://t.co/9Y9CZmwNdX,Aug,18,2016
MSNBC,RT @NBCNightlyNews: BREAKING: US Justice Dept. directs Bureau of Prisons to phase out privately-operated prisons with goal of ultimately e…,Aug,18,2016
FoxNews,RT @foxnewshealth: Calcium supplements tied to higher dementia risk for some women https://t.co/WzILnDFchS https://t.co/VNI1wTb8Ff,Aug,18,2016
MSNBC,"Reports: U.S. swimmers weren't robbed, fabricated story https://t.co/EbX4fCyioE https://t.co/z2ehu388ZP",Aug,18,2016
MSNBC,Here is a timeline of Donald Trump's campaign leadership changes: https://t.co/UPqsI83xrz https://t.co/IIbqHea0Ka,Aug,18,2016
FoxNews,"Ryan Lochte lied about robbery, Brazilian police official says  https://t.co/9PVZFh3LUk https://t.co/iJcQC7TzN3",Aug,18,2016
FoxNews,"I think, frankly, [@realDonaldTrump's] going to end up beating Hillary by a surprising margin. -@newtgingrich https://t.co/9NOtOf4RcT",Aug,18,2016
FoxNews,'Fixer Upper' stars upset homes are becoming vacation rentals  https://t.co/GpdoiRRzBs via @Fox411 https://t.co/sV4M4OoeJx,Aug,18,2016
FoxNews,"IN HOT WATER: Lochte lied about robbery, Brazil police official claims https://t.co/E7qANJdeMf https://t.co/ye15KutQCw",Aug,18,2016
MSNBC,Pulled from the rubble: This 5-year-old boy is becoming a definitive face of Syria’s war https://t.co/hBRhlNCUGB https://t.co/m67vbdAjTp,Aug,18,2016
FoxNews,"Police: Ryan Lochte &amp; 3 other swimmers were in gas station fight, not robbed  https://t.co/UncZatkNmU",Aug,18,2016
FoxNews,RT @foxnewspolitics: Dems crank up tax return battle with @realDonaldTrump https://t.co/IQP3Pprpy4 #FNPolitics https://t.co/Q88YYyqIGZ,Aug,18,2016
FoxNews,FBI THROWS EMAIL CURVEBALL: GOP lawmakers complain classified material in Hillary notes limits access https://t.co/GrBkIPb62l,Aug,18,2016
MSNBC,"Donald Trump has no business sitting in the Oval Office, Ronald Reagan’s son says: https://t.co/rNblXnbZsa https://t.co/3Uc2xDRSlK",Aug,18,2016
FoxNews,The US Dept of @interior shared this photo from 2013 of a lightning bolt that looks like a Tyrannosaurus rex. #TBT https://t.co/EKxkc0o16N,Aug,18,2016
MSNBC,Here's what GOP nominee Donald Trump likely learned from his first intelligence briefing: https://t.co/c1LWGh1NYq https://t.co/h4qYjMalKT,Aug,18,2016
FoxNews,#MichaelPhelps shared this adorable photo with his son Boomer and fiancée Nicole. https://t.co/YEu1ZvuRgU,Aug,18,2016
FoxNews,"Bias alert: Twitter bans Breitbart bad boy, but not ISIS-linked London loudmouth https://t.co/jUjk0y883w",Aug,18,2016
MSNBC,RT @mmurraypolitics: Bernie Sanders got through his entire presidential campaign without having to file his personal-financial disclosure h…,Aug,18,2016
MSNBC,RT @Morning_Joe: Great Moments in Surrogate Malpractice - brought to you by #morningjoe https://t.co/wnbG5GblL6 https://t.co/GY2EEnjEi7,Aug,18,2016
MSNBC,"Here are the top moments in Trump surrogate malpractice, brought to you by @Morning_Joe: https://t.co/hBRhlNCUGB https://t.co/s9iB38t1gb",Aug,18,2016
FoxNews,"Pence and Kaine -- &amp; Weld -- are far less scary than Trump, Clinton   Via @JohnStossel @fxnopinion    https://t.co/uyn3CxXMkC",Aug,18,2016
FoxNews,Uber set to test self-driving cars in Pittsburgh: https://t.co/ybB012ioFj https://t.co/379d1QEoPX,Aug,18,2016
FoxNews,RT @fxnleisure: Are bananas going extinct? Why beloved fruit could be gone in 10 years   https://t.co/dwm2OCkyyr https://t.co/OZJyBwq8XP,Aug,18,2016
FoxNews,RT @foxnewshealth: Britain seeks to fight the fat with soft drinks sugar levy https://t.co/fuVTmiJixg https://t.co/mY7OoVc1tY,Aug,18,2016
FoxNews,RT @foxnewslatino: Indiana restaurant removing Mexican 'wall' billboards amid backlash https://t.co/NyNYl2fJ8v https://t.co/mT85gNA8kp,Aug,18,2016
MSNBC,This is the one way the Trump shake-up makes sense: https://t.co/bKrBZXfUq4  by @chucktodd https://t.co/NZ7syYdPJZ,Aug,18,2016
FoxNews,Gun-rights advocates file lawsuit challenging California open-carry restrictions https://t.co/21fNdQ3OTL,Aug,18,2016
MSNBC,"RT @TODAYshow: Remembering the talented #PatrickSwayze, who would’ve turned 64 today. https://t.co/nzkB9cj8WN",Aug,18,2016
MSNBC,RT @NBCSports: .@AshtonJEaton fighting to keep his world greatest athlete crown. Watch Track &amp; Field LIVE https://t.co/yWYI5YmeaQ https:/…,Aug,18,2016
MSNBC,RT @Morning_Joe: Is it a reset or more of the same for Trump? https://t.co/fPrxwgdw1Q https://t.co/LIKN8XBRwA,Aug,18,2016
MSNBC,Will Hillary Clinton's lead over Trump remain this wide? Here's what @Morning_Joe has to say https://t.co/lKvVBqoYSi https://t.co/gYp8BguLCR,Aug,18,2016
FoxNews,"Seven-week sleep: As 2016 race churns, Congress sits it out on summer recess https://t.co/DsTYwFCmZo by @ChadPergram",Aug,18,2016
MSNBC,RT @Morning_Joe: Video captures little boy pulled from reported rubble in Syria... #morningjoe panel reacts. https://t.co/iJBEuhVm5L,Aug,18,2016
FoxNews,"TRAPPED IN BRAZIL: 2 US Olympic swimmers pulled off plane amid probe of 'robbery' story, barred from leaving https://t.co/E7qANJdeMf",Aug,18,2016
MSNBC,RT @Morning_Joe: What's going on behind the scenes on #morningjoe? Find out at: https://t.co/vHSaXRCeUd https://t.co/x16qT2MiKT,Aug,18,2016
MSNBC,"RT @Morning_Joe: .@JoeNBC on Trump's poll numbers: If there ever was a time for a reset, now's the time for a reset https://t.co/celVNi2Z0v",Aug,18,2016
MSNBC,Clinton predicts no new Donald Trump after staff shake-up https://t.co/aR6MNMqp1e https://t.co/ToaejI8iJf,Aug,18,2016
MSNBC,Minnesota Police Chief defends officer in July shooting death of Philando Castile https://t.co/npha0RFkwB https://t.co/yXyODQ5iQK,Aug,18,2016
MSNBC,RT @Morning_Joe: Timeline of Trump's campaign leadership https://t.co/qDybHYhkve,Aug,18,2016
MSNBC,RT @Morning_Joe: And now... Great moments in surrogate malpractice #morningjoe  https://t.co/daWQbi0r5K,Aug,18,2016
MSNBC,RT @Morning_Joe: New swing state polls show Clinton has a solid lead over Trump  https://t.co/DxluQ1TdCT,Aug,18,2016
MSNBC,Meet Team Trump's new bosses: Kellyanne Conway and Stephen Bannon https://t.co/ydik4IYAzs https://t.co/rlYQyYmSLt,Aug,18,2016
MSNBC,RT @Morning_Joe: .@JoeNBC on Trump's new leadership team: It looks like it's a classic good cop-bad cop scenario  https://t.co/udpIANOlaZ,Aug,18,2016
MSNBC,RT @Morning_Joe: Snapshot of Trump Campaign Manager Kellyanne Conway https://t.co/Rf5lQR5o7Z,Aug,18,2016
MSNBC,RT @Morning_Joe: Snapshot of Trump Campaign Chief Executive Stephen Bannon https://t.co/sao4egjx7f,Aug,18,2016
MSNBC,RT @NBCNews: Transgender bathroom access is about to extend to all federal buildings https://t.co/zomciFgfhf https://t.co/opMRy1W5QJ,Aug,18,2016
MSNBC,RT @NBCNews: Two U.S. swimmers pulled off plane in Rio amid robbery probe https://t.co/VPojwBfbLI #Rio2016 #Lochte https://t.co/vPfUdCc4T3,Aug,18,2016
FoxNews,"Syrian refugees describe confusing vetting process, uncertainty in America https://t.co/GStpbcruk9 via @holliesmckay",Aug,18,2016
FoxNews,Devastating plant fungus may eradicate bananas within five years https://t.co/kD1fpOp8qJ https://t.co/stnU4Vmmvn,Aug,18,2016
FoxNews,US women sweep 100-meter hurdles in historic first https://t.co/5SEL0Y2sbV #Rio2016 https://t.co/l291qdBiEg,Aug,18,2016
FoxNews,"Trump slams Obama, Clinton for 'politically correct' war against ISIS, warns of more attacks https://t.co/AdG8sGOwXD https://t.co/T4TxxFXxIX",Aug,18,2016
FoxNews,RT @foxandfriends: COMING UP! @lh_carter @DaveZinczenko  @Skip_Bedell @KimRhode @RobRiggle @MarthaStewart @MarkBurnettTV  @realbobmassi htt…,Aug,18,2016
FoxNews,RT @foxandfriends: Black Lives Matter cashes in with $100 million from liberal foundations https://t.co/L8413u3wg4 https://t.co/Y2vpxU50Zy,Aug,18,2016
FoxNews,Haunting image of Syrian boy rescued from Aleppo rubble after airstrike https://t.co/AoAuzmrkGf https://t.co/3bbUisz3o1,Aug,18,2016
FoxNews,4-year-old Arkansas girl found abused told police her name was 'idiot' https://t.co/mEmAFs1cfI https://t.co/QcUSHXhEOR,Aug,18,2016
FoxNews,Behind the sudden shakeup: Why Trump rebelled against being managed https://t.co/BbnQTUA0tr via @HowardKurtz @MediaBuzzFNC,Aug,18,2016
FoxNews,UPDATE: Turkish officials say injury toll in pair of car bombings rises to 219,Aug,18,2016
FoxNews,"At least 6 dead, more than 120 wounded in bombings targeting Turkish police https://t.co/ltduesxveN",Aug,18,2016
FoxNews,"BREAKING: At least 6 dead, more than 120 wounded in pair of bombings targeting Turkish police",Aug,18,2016
FoxNews,"Wisconsin farmer, 16 cows dead after being overcome with manure fumes https://t.co/adIVdqk9M4 https://t.co/WIROHNHVYK",Aug,18,2016
FoxNews,3 American swimmers stuck in Brazil amid investigation into robbery report https://t.co/E7qANJdeMf,Aug,18,2016
FoxNews,Dr. Phil teases interview with JonBenet Ramsey's brother  https://t.co/dZnzymyni8 via @Fox411 https://t.co/DtC0tv1Uqw,Aug,18,2016
FoxNews,'Pokemon Go': These are the hardest Pokemon to catch  https://t.co/N7CQLWS7tg https://t.co/XdfqXzTK29,Aug,18,2016
FoxNews,Christie denies knowledge of settlement that reduced Trump casino debt by millions  https://t.co/18ZDJJo0w3 https://t.co/xNicg38WKU,Aug,18,2016
FoxNews,"Celebs, Olympians participate in 22-Pushup Challenge to raise awareness of veteran suicide https://t.co/8nXHQnHHrm",Aug,18,2016
FoxNews,Malaria in Venezuela – ignored by government – now threatens neighboring countries https://t.co/einFQ2tKQO via @foxnewslatino,Aug,18,2016
FoxNews,Army took away Dallas police shooter's gun during sexual harassment probe  https://t.co/r0HyCFax8o https://t.co/PD9Unbhd50,Aug,18,2016
FoxNews,Gun rights group protests assault weapons 'crackdown' by Massachusetts AG https://t.co/otioz03vVl https://t.co/PSVAXOpAlK,Aug,18,2016
FoxNews,Here's how the US stacks up when it comes to mobile network speed  https://t.co/GYDH4XFFUB https://t.co/jJ7XpJeu19,Aug,18,2016
FoxNews,Target adds private bathrooms to quell transgender debate  https://t.co/D88P2LDdQc https://t.co/t9HMFKmKns,Aug,18,2016
FoxNews,"As floodwaters recede in Louisiana, disbelief mixes with determination https://t.co/YWIo3Isqu3 https://t.co/cXzJUmb2IB",Aug,18,2016
FoxNews,"Trump slams Obama, Clinton for 'politically correct' war against ISIS, warns of more attacks https://t.co/AdG8sGwVz3",Aug,18,2016
FoxNews,Road-tripping 91-year-old hopes her travels inspire end-of-life conversations https://t.co/EreOL3Spl4 https://t.co/cqzTMDFfTy,Aug,18,2016
FoxNews,"Manafort helped funnel money to US lobbyists from pro-Putin Ukrainian party, report claims https://t.co/DoA67JdsCc https://t.co/3CzXpCT0WJ",Aug,18,2016
FoxNews,Explorers find 2nd-oldest confirmed shipwreck in Great Lakes  https://t.co/nPlnoygvKL https://t.co/GWXiH4NpPq,Aug,18,2016
FoxNews,"7th body found in wreckage of Maryland apartment explosion, fire  https://t.co/GhQq9V4ua9 https://t.co/aFn0sHyqS8",Aug,18,2016
FoxNews,"Several unfit judges, referees knocked out of Olympic boxing https://t.co/rocQ2K9ByF https://t.co/A9ERYp6WVp",Aug,17,2016
FoxNews,"US held $400M payment to Iran until detainees were released, report says  https://t.co/JZB2BrcVKP https://t.co/PY2DrFWbZA",Aug,17,2016
FoxNews,"Seattle offers classes on 'white fragility,' to explain roots of guilt  https://t.co/pY2TQKnoLL",Aug,17,2016
FoxNews,Tech Wreck - 100+K Jobs Gone and More Cuts Coming   https://t.co/WshN3SfZ0m via @FoxBusiness https://t.co/b8pEj8uYdb,Aug,17,2016
FoxNews,Trump gets first intelligence briefing as presidential nominee  https://t.co/9rDAu8hnij https://t.co/h9VOrOtrNQ,Aug,17,2016
FoxNews,"Syrian refugees describe confusing vetting process, uncertainty in America  https://t.co/tuHk8ruSdn https://t.co/KPyPqu1GS3",Aug,17,2016
MSNBC,Inside the Trump campaign's dramatic-shakeup https://t.co/497FxnrI4i https://t.co/ovBZXLWJin,Aug,17,2016
FoxNews,".@realDonaldTrump on healthcare: Obamacare's dying of its own volition, if you look at what's going on with [it.] #Hannity",Aug,17,2016
FoxNews,.@realDonaldTrump on Supreme Court justice picks: I want to get as close to Scalia as I can. #Hannity https://t.co/2AoV1f7HxM,Aug,17,2016
FoxNews,.@realDonaldTrump: [@HillaryClinton] is being protected by the gov't. How she got away w/ the emails is beyond anything I've ever seen.,Aug,17,2016
FoxNews,.@SebGorka: This is an ideological war like the Cold War. We have got to destroy the brand of jihad. #Hannity https://t.co/mpNAkRgyr9,Aug,17,2016
FoxNews,".@SebGorka on Obama administration's response to terror: They don't understand the reality: the war is real, and the war is here. #Hannity",Aug,17,2016
MSNBC,Trump appeals for the black vote...in front of a bunch of white people https://t.co/IC0zL29buT https://t.co/1lk6kYrAqL,Aug,17,2016
FoxNews,.@realDonaldTrump on admin. sharing plans about troop withdrawals: Why can't we just be quiet and do the job? https://t.co/oME63wqlup,Aug,17,2016
FoxNews,.@realDonaldTrump on ISIS: We have to take them out very swiftly because weapons are getting stronger &amp; stronger. https://t.co/X75xkhBirN,Aug,17,2016
FoxNews,".@realDonaldTrump: We can be nice about it, we can say it's never going to happen again – there'll be more [terrorist attacks.] #Hannity",Aug,17,2016
MSNBC,Wyoming judge faces removal for refusing same-sex marriages https://t.co/0snHtCN6I9 https://t.co/X1s4Z8dS28,Aug,17,2016
FoxNews,.@KrisParonto: The terrorists overseas utilize our strengths – which are compassion &amp; empathy – against us. https://t.co/QXtyNjkgAu,Aug,17,2016
FoxNews,.@realDonaldTrump: We're just allowing people into our country that some are going to be a problem. #Hannity https://t.co/cmhrLFovKi,Aug,17,2016
FoxNews,"#TeamUSA 's Brianna Rollins, Nia Ali &amp; Kristi Castlin celebrate after sweeping the women's 100-meter hurdles in #Rio https://t.co/phlvBq1M4b",Aug,17,2016
FoxNews,"Dorothy Woods, husband Ty killed in Benghazi: Under @HillaryClinton...there was lack of security planning &amp; decision-making #Hannity",Aug,17,2016
FoxNews,"Karen McWatters, Boston victim: If we don't speak honestly...about what's happening [w/ radical Islam], then we can't solve the issue.",Aug,17,2016
MSNBC,Montel Williams endorses Hillary Clinton in interview with @hardball_chris https://t.co/GKzufoYPJ5 https://t.co/t9OAudN0ud,Aug,17,2016
FoxNews,.@realDonaldTrump on ISIS: They want to do serious harm. We have to take them out...very swiftly &amp; viciously if necessary. #Hannity,Aug,17,2016
FoxNews,".@realDonaldTrump: You look at Vietnam, you look at the mess that we're in right now...in the meantime our country's going to hell...",Aug,17,2016
FoxNews,".@realDonaldTrump: @POTUS, @HillaryClinton, the way they got out [of Iraq] was absolutely insane. #Hannity https://t.co/ZI1RI7h1xs",Aug,17,2016
